frame_name,timestamp,aoi,pitch,yaw,reading_state,page_number
00001.jpg,1746533648.3838677,AOI 2,-0.20855587338963125,-0.0733929912170577,not_reading,1
00002.jpg,1746533648.6436722,AOI 2,-0.17786054498148696,-0.09855533614445336,not_reading,1
00003.jpg,1746533648.8861263,AOI 2,-0.189120656386451,-0.08326914657554386,not_reading,1
00004.jpg,1746533649.1225479,AOI 2,-0.19873573318607307,-0.07674093979543264,reading,1
00005.jpg,1746533649.3645205,AOI 2,-0.21080926275998366,-0.050204936377774095,reading,1
00006.jpg,1746533649.5988083,AOI 1,-0.13239585779998123,-0.05245672785147243,reading,1
00008.jpg,1746533654.1587749,AOI 2,-0.16672107477390352,-0.11314093680259933,not_reading,2
00009.jpg,1746533654.4049656,AOI 3,-0.1559786818848509,-0.14547384296503335,not_reading,2
00010.jpg,1746533654.6214347,AOI 2,-0.17281456489207747,-0.12766315422680144,not_reading,2
00011.jpg,1746533654.9163094,AOI 2,-0.17777683295122212,-0.13622299783049777,reading,2
00012.jpg,1746533655.1240044,AOI 3,-0.23155910484926334,-0.19754254824568127,reading,2
00013.jpg,1746533655.3453612,AOI 3,-0.23218690069023137,-0.16604409922480537,reading,2
00014.jpg,1746533655.6559691,AOI 2,-0.22330437073445372,-0.12663339860530412,reading,2
00015.jpg,1746533655.97746,AOI 1,-0.10445556953952391,-0.045761718415085896,reading,2
00017.jpg,1746533660.4805243,AOI 2,-0.18943863782060646,-0.0850421904572823,not_reading,3
00018.jpg,1746533660.7738643,AOI 2,-0.17001540504233154,-0.10663563320786276,not_reading,3
00019.jpg,1746533661.0594463,AOI 2,-0.17847768817809465,-0.0906286147039052,not_reading,3
00020.jpg,1746533661.251335,AOI 2,-0.17701783204054955,-0.09084734900143702,reading,3
00021.jpg,1746533661.4697278,AOI 2,-0.17168751511875593,-0.07857097532449875,reading,3
00022.jpg,1746533661.6647272,AOI 1,-0.1660701094314518,-0.0778497913013053,reading,3
00024.jpg,1746533666.2132006,AOI 1,-0.14290069671979877,-0.07538556834465497,not_reading,4
00025.jpg,1746533666.3852584,AOI 2,-0.17130623922269295,-0.09408282340977428,not_reading,4
00026.jpg,1746533666.5542364,AOI 1,-0.16555026038666834,-0.08860407964322693,not_reading,4
00027.jpg,1746533666.7314088,AOI 2,-0.1818557304767875,-0.0896616209120974,reading,4
00028.jpg,1746533666.915009,AOI 2,-0.1835031619271105,-0.07625757605758325,reading,4
00029.jpg,1746533667.0755467,AOI 2,-0.18739102203048086,-0.06253208765949654,reading,4
00030.jpg,1746533667.2594228,AOI 2,-0.1821360725675365,-0.049265461917230476,reading,4
00031.jpg,1746533667.432355,AOI 2,-0.20819394979748948,-0.0713786649405581,reading,4
00032.jpg,1746533667.6266265,AOI 2,-0.21263849934072268,-0.08023536223376194,reading,4
00033.jpg,1746533667.7993946,AOI 2,-0.226707357975357,-0.09217848568629496,reading,4
00034.jpg,1746533667.9656265,AOI 2,-0.20830438221069145,-0.06472617730957649,reading,4
00035.jpg,1746533668.126965,AOI 2,-0.20409383575523984,-0.05774807384931454,reading,4
00036.jpg,1746533668.3199909,AOI 2,-0.19719074466568176,-0.04541568501744827,reading,4
00037.jpg,1746533668.542353,AOI 3,-0.22647291102739367,-0.15646080281419159,reading,4
00038.jpg,1746533668.7343438,AOI 3,-0.22544253400164202,-0.19027336127827363,reading,4
00039.jpg,1746533668.9347053,AOI 3,-0.22528460854900034,-0.21231767720140451,reading,4
00040.jpg,1746533669.1623085,AOI 2,-0.19766940348560536,-0.1408525482974552,reading,4
00041.jpg,1746533669.363315,AOI 2,-0.19099081687594097,-0.11902847579647384,reading,4
00042.jpg,1746533669.5628762,AOI 2,-0.18732213493028416,-0.13007349255739578,reading,4
00043.jpg,1746533669.761863,AOI 2,-0.17614626818780296,-0.11733781236445522,reading,4
00044.jpg,1746533669.961622,AOI 2,-0.1805094137737161,-0.1293610969657996,reading,4
00045.jpg,1746533670.213644,AOI 2,-0.17825868756445376,-0.12451192448094699,reading,4
00046.jpg,1746533670.4189065,AOI 2,-0.1962304975486355,-0.12477442339239248,reading,4
00047.jpg,1746533670.6240473,AOI 2,-0.17924237049909272,-0.12447330864514083,reading,4
00048.jpg,1746533670.8130372,elsewhere,-0.11092136957809096,-0.10836020755776177,reading,4
00049.jpg,1746533671.0217416,AOI 1,-0.05025455994608591,-0.0909015887156383,reading,4
00051.jpg,1746533675.5100849,AOI 2,-0.20469215928014428,-0.09198238825802879,not_reading,5
00052.jpg,1746533675.8015294,AOI 2,-0.22882439349789732,-0.09752549175091971,not_reading,5
00053.jpg,1746533676.0128286,AOI 2,-0.21497489056504923,-0.09648543857320745,not_reading,5
00054.jpg,1746533676.216642,AOI 2,-0.20514915772320186,-0.10191393736718862,reading,5
00055.jpg,1746533676.4221663,AOI 2,-0.20229451535074594,-0.10635609006544079,reading,5
00056.jpg,1746533676.621485,AOI 2,-0.20207906561855857,-0.10349035118844287,reading,5
00057.jpg,1746533676.8314004,AOI 2,-0.2046475957179036,-0.09508852180942455,reading,5
00058.jpg,1746533677.0365624,AOI 2,-0.18740069818244146,-0.09304596602537009,reading,5
00059.jpg,1746533677.2432647,AOI 2,-0.19930849036451279,-0.09060020765227766,reading,5
00060.jpg,1746533677.441838,AOI 2,-0.2175791957950377,-0.0885294223606684,reading,5
00061.jpg,1746533677.6506064,AOI 2,-0.2358174106602637,-0.07387067354458159,reading,5
00062.jpg,1746533677.8647819,AOI 2,-0.22093087279893878,-0.0642627872799027,reading,5
00063.jpg,1746533678.0686922,AOI 2,-0.20787312765817126,-0.06517545258547286,reading,5
00064.jpg,1746533678.2804065,AOI 2,-0.20017028929326242,-0.06103317182596361,reading,5
00065.jpg,1746533678.5008016,AOI 2,-0.2217067403965152,-0.060885987789718564,reading,5
00066.jpg,1746533678.7012508,AOI 2,-0.21302474647082056,-0.06165839327787787,reading,5
00067.jpg,1746533678.8950467,AOI 2,-0.21349728002023693,-0.06199315262690084,reading,5
00068.jpg,1746533679.0724347,AOI 1,-0.13126348170447952,-0.055677288557705255,reading,5
00070.jpg,1746533683.6118724,AOI 2,-0.20540135907843238,-0.08683503050312365,not_reading,6
00071.jpg,1746533683.904398,AOI 2,-0.2133136106770578,-0.07837842877768603,not_reading,6
00072.jpg,1746533684.213907,AOI 2,-0.19933334653468682,-0.08043536563162688,not_reading,6
00073.jpg,1746533684.4344597,AOI 2,-0.18572556985678165,-0.07315721268854934,reading,6
00074.jpg,1746533684.639496,AOI 2,-0.18201907102364567,-0.08459770887134806,reading,6
00075.jpg,1746533684.9125404,AOI 2,-0.19333803828870047,-0.09058218692890146,reading,6
00076.jpg,1746533685.1436126,AOI 2,-0.22041617253226278,-0.09605729104195904,reading,6
00077.jpg,1746533685.3614535,AOI 2,-0.22883788684742037,-0.08631509268630383,reading,6
00078.jpg,1746533685.5568986,AOI 2,-0.22874334462872256,-0.0822787169661434,reading,6
00079.jpg,1746533685.7793722,AOI 2,-0.21534977487449605,-0.07553479413773576,reading,6
00080.jpg,1746533685.9937966,AOI 1,-0.15376967853266651,-0.07014295819476134,reading,6
00082.jpg,1746533690.987974,AOI 2,-0.18375198994496023,-0.03747094285352389,not_reading,7
00083.jpg,1746533691.2679605,elsewhere,-0.3662136783417771,-0.10368085597841986,not_reading,7
00084.jpg,1746533691.4733632,AOI 2,-0.2483216621544764,-0.06074812481728881,not_reading,7
00085.jpg,1746533691.6942482,AOI 2,-0.25220108891439486,-0.05880481616985798,reading,7
00086.jpg,1746533691.9059134,AOI 2,-0.18287225906487073,-0.05299308849501439,reading,7
00087.jpg,1746533692.2252157,AOI 2,-0.17741091461744526,-0.04869057420991871,reading,7
00088.jpg,1746533692.4342864,AOI 2,-0.1758504797627315,-0.06611208634085373,reading,7
00089.jpg,1746533692.6431258,AOI 2,-0.18645305669455495,-0.048645300471387355,reading,7
00090.jpg,1746533692.8705454,AOI 2,-0.18382726863177315,-0.04192179521133698,reading,7
00091.jpg,1746533693.081865,AOI 2,-0.17613685835195134,-0.01710122262383482,reading,7
00092.jpg,1746533693.2944796,AOI 1,-0.1652631716211578,-0.023569153191273933,reading,7
00093.jpg,1746533693.4813306,AOI 2,-0.19366028078060005,-0.06534553980709258,reading,7
00094.jpg,1746533693.7208114,AOI 2,-0.20568161239714508,-0.08195079306391831,reading,7
00095.jpg,1746533693.9547718,AOI 2,-0.22220111186687022,-0.07884687881343096,reading,7
00096.jpg,1746533694.1648622,AOI 2,-0.23177579738995946,-0.09747924151998867,reading,7
00097.jpg,1746533694.3796244,AOI 4,-0.22648196577509994,0.18296626865135054,reading,7
00098.jpg,1746533694.5866632,elsewhere,-0.28654761117703775,0.4547862439121048,reading,7
00099.jpg,1746533694.793585,elsewhere,-0.29749187167671837,0.7533155056054454,reading,7
00100.jpg,1746533695.005477,elsewhere,-0.32817335164719424,0.8217455185870678,reading,7
00101.jpg,1746533695.1770806,elsewhere,-0.2588242817733856,0.9022636197565598,reading,7
00102.jpg,1746533695.341066,None,,,not_reading,7
00103.jpg,1746533695.5105546,None,,,not_reading,7
00104.jpg,1746533695.6864958,None,,,not_reading,7
00105.jpg,1746533695.8945866,None,,,not_reading,7
00106.jpg,1746533696.055994,None,,,not_reading,7
00107.jpg,1746533696.2265065,None,,,not_reading,7
00108.jpg,1746533696.4030995,None,,,not_reading,7
00109.jpg,1746533696.5845315,None,,,not_reading,7
00110.jpg,1746533696.7680266,None,,,not_reading,7
00111.jpg,1746533696.952814,None,,,not_reading,7
00112.jpg,1746533697.130985,None,,,not_reading,7
00113.jpg,1746533697.2793133,None,,,not_reading,7
00114.jpg,1746533697.4692826,None,,,not_reading,7
00115.jpg,1746533697.6334684,None,,,not_reading,7
00116.jpg,1746533697.808723,None,,,not_reading,7
00117.jpg,1746533698.0120165,None,,,not_reading,7
00118.jpg,1746533698.2128012,None,,,not_reading,7
00119.jpg,1746533698.421157,None,,,not_reading,7
00120.jpg,1746533698.6116624,None,,,not_reading,7
00121.jpg,1746533698.814595,None,,,not_reading,7
00122.jpg,1746533699.0185966,None,,,not_reading,7
00123.jpg,1746533699.2311103,None,,,not_reading,7
00124.jpg,1746533699.4342723,None,,,not_reading,7
